date,platform,format,compound,hook,post_url,views_7d,hold_3s_pct,completion_pct,saves,shares,comments,follows
2026-08-08,TikTok,F4 Lab Loop,GHK-Cu,Why is this the only blue peptide in the lab?,OneUp post 50999366 (live URL not returned),,,,,,,
2026-08-08,Instagram,F4 Lab Loop,GHK-Cu,Why is this the only blue peptide in the lab?,OneUp post 50999294 (live URL not returned),,,,,,,
2026-08-08,YouTube,F4 Lab Loop,GHK-Cu,Why is this the only blue peptide in the lab?,OneUp post 50999295 (live URL not returned),,,,,,,
2026-08-08,X,F4 Lab Loop,GHK-Cu,Why is this the only blue peptide in the lab?,OneUp post 50999558 (live URL not returned),,,,,,,
2026-08-08,TikTok,F4 Lab Loop,Cold-chain variable,Why the −20°C freezer?,OneUp post 50999583 (live URL not returned),,,,,,,
2026-08-08,Instagram,F4 Lab Loop,Cold-chain variable,Why the −20°C freezer?,OneUp post 50999585 (live URL not returned),,,,,,,
2026-08-08,YouTube,F4 Lab Loop,Cold-chain variable,Why the −20°C freezer?,OneUp post 50999586 (live URL not returned),,,,,,,
2026-08-08,X,F4 Lab Loop,Cold-chain variable,Why the −20°C freezer?,OneUp post 50999588 (live URL not returned),,,,,,,
2026-08-09,TikTok,Direct warning / report literacy,Document literacy,Before you trust a peptide listing…,OneUp scheduled post 51020179 (2026-08-09 18:30 UK),,,,,,,
2026-08-09,Instagram,Direct warning / report literacy,Document literacy,Before you trust a peptide listing…,OneUp scheduled post 51020180 (2026-08-09 18:30 UK),,,,,,,
2026-08-09,YouTube,Direct warning / report literacy,Document literacy,Before you trust a peptide listing…,OneUp scheduled post 51020181 (2026-08-09 18:30 UK),,,,,,,
2026-08-09,X,Direct warning / report literacy,Document literacy,Before you trust a peptide listing…,OneUp scheduled post 51020182 (2026-08-09 18:30 UK),,,,,,,
2026-08-09,TikTok,Direct buzzword check,Document literacy,The internet loves “pharma grade.”,OneUp scheduled post 51020248 (2026-08-09 12:30 UK),,,,,,,
2026-08-09,Instagram,Direct buzzword check,Document literacy,The internet loves “pharma grade.”,OneUp scheduled post 51020249 (2026-08-09 12:30 UK),,,,,,,
2026-08-09,YouTube,Direct buzzword check,Document literacy,The internet loves “pharma grade.”,OneUp scheduled post 51020250 (2026-08-09 12:30 UK),,,,,,,
2026-08-09,X,Direct buzzword check,Document literacy,The internet loves “pharma grade.”,OneUp scheduled post 51020251 (2026-08-09 12:30 UK),,,,,,,
2026-08-10,TikTok,Stack reality check,BPC-157 + TB-500,The “healing stack” everyone repeats?,OneUp scheduled post 51020252 (2026-08-10 12:30 UK),,,,,,,
